Designator,Mid X,Mid Y,Rotation,Layer
BT1,99.06,-107.696,90.0,bottom
C1,115.062,-113.03,0.0,top
C10,94.361,-116.7735,180.0,top
C11,94.361,-117.856,180.0,top
C12,94.361,-118.872,180.0,top
C2,106.0542,-118.261466,-90.0,top
C3,105.0542,-118.261466,-90.0,top
C4,104.0542,-118.261466,-90.0,top
C5,100.2442,-126.028466,0.0,top
C6,100.2442,-127.298466,0.0,top
C7,99.9394,-138.880866,-90.0,top
C8,98.552,-115.4938,180.0,top
C9,97.2142,-131.362466,90.0,top
D1,107.5892,-119.031466,90.0,top
L1,97.3074,-121.075466,0.0,top
M1,102.885,-114.865,90.0,top
R1,109.1342,-118.281466,90.0,top
R2,101.092,-118.999,-90.0,top
R3,100.0252,-117.0178,90.0,top
R4,100.0252,-118.9736,90.0,top
R5,100.168,-134.537466,0.0,top
RV1,105.1482,-128.187466,180.0,top
RV2,105.1482,-136.061466,180.0,top
RV3,105.1482,-143.935466,180.0,top
RV4,105.1482,-151.809466,180.0,top
RV5,96.5122,-143.935466,0.0,top
RV6,96.5122,-151.809466,0.0,top
SW1,114.2142,-123.2768,0.0,top
SW2,114.2142,-132.590133,0.0,top
SW3,114.2142,-141.903466,0.0,top
SW4,114.2142,-151.2168,0.0,top
SW5,93.142,-113.6615,90.0,top
U1,97.409,-117.7798,0.0,top
U2,95.4182,-125.393466,0.0,top
U3,95.4182,-136.442466,0.0,top
